# Swift-BAT daily average light curve for Crab                          
# Generated Fri Aug 24 11:36:02 UTC 2018
#
#     TIME           RATE          ERROR      YEAR          DAY     STAT_ERR        SYS_ERR   DATA_FLAG   TIMEDEL_EXPO     TIMEDEL_CODED  TIMEDEL_DITHERED
#       d        count/cm^2/s   count/cm^2/s   yr            d    count/cm^2/s   count/cm^2/s                s              s              s
      53490       0.26058098     0.01857086   2005         120     0.01315206     0.00912033      0     192.00000000    33.00000000   192.00000000
      53491       0.23079463     0.01062032   2005         121     0.00560564     0.00807781      0     192.00000000   108.00000000   192.00000000
      53493       0.22482160     0.00836068   2005         123     0.00229719     0.00786876      0    1184.00000000   666.00000000     0.00000000
      53511       0.21166508     0.01041850   2005         141     0.00595567     0.00740828      0     264.00000000   156.75000000   264.00000000
      53514       0.22120290     0.00962028   2005         144     0.00464267     0.00774210      0     600.00000000   269.53125000     0.00000000
      53515       0.21958275     0.00917390   2005         145     0.00407276     0.00768540      0     792.00000000   346.50000000     0.00000000
      53516       0.21802550     0.00957326   2005         146     0.00469978     0.00763089      0     536.00000000   220.06250000     0.00000000
      53517       0.22327571     0.01011774   2005         147     0.00522480     0.00781465      0     568.00000000   224.09375000   568.00000000
      53518       0.22916103     0.01550913   2005         148     0.01079197     0.00802064      0     392.00000000   120.96875000   392.00000000
      53519       0.23372164     0.00872944   2005         149     0.00247754     0.00818026      0    4696.00000000  1431.75000000   856.00000000
      53520       0.22010969     0.01276126   2005         150     0.00827116     0.00770384      0     592.00000000    76.81250000   592.00000000
      53547       0.22832230     0.00857420   2005         177     0.00252639     0.00799128      0    5448.00000000   978.93750000     0.00000000
      53548       0.22835628     0.00841398   2005         178     0.00213800     0.00799247      0    5928.00000000  1073.26562500  1064.00000000
      53549       0.23841231     0.01081386   2005         179     0.00559205     0.00834443      0    1728.00000000   249.75000000  1728.00000000
      53550       0.23546364     0.00881849   2005         180     0.00255133     0.00824123      0    6336.00000000  1169.73437500  1768.00000000
      53551       0.23389381     0.00876154   2005         181     0.00253853     0.00818628      0    4896.00000000  1188.04687500  4640.00000000
      53552       0.23020703     0.00900561   2005         182     0.00327045     0.00805725      0    1432.00000000   380.37500000     0.00000000
      53553       0.23097460     0.00827830   2005         183     0.00144920     0.00808411      0    8720.00000000  2316.25000000     0.00000000
      53554       0.22213652     0.00789191   2005         184     0.00110132     0.00777478      0   13752.00000000  4566.09375000     0.00000000
      53555       0.22299024     0.00792109   2005         185     0.00110011     0.00780466      0   13984.00000000  4643.12500000     0.00000000
